input	filtered	denoisedF	denoisedR	merged	nonchim	percent
WP-11O29	114247	39363	39130	38899	35785	35325	30.9
WP-1641C	180306	63123	62576	61262	53717	50893	28.2
WP-1J0A0	118458	41544	41085	41021	36690	35654	30.1
WP-3GH4E	105493	37698	37503	37303	35362	34799	33
WP-4SP0U	245187	83598	82881	82013	71673	64365	26.3
WP-6RCV3	114269	40530	40341	40292	37855	35649	31.2
WP-7FAEC	288105	99030	98289	98026	85388	75749	26.3
WP-8SXNH	115689	39699	39364	39339	36520	35137	30.4
WP-8V6E3	286174	99900	99028	98606	87580	78614	27.5
WP-95020	314274	110089	109446	109042	96754	81235	25.8
WP-9ZJJI	214646	75378	74726	73625	64124	57152	26.6
WP-ATJLX	101691	36181	35970	35790	33886	32929	32.4
WP-DFG11	118093	41526	41037	41058	37238	36165	30.6
WP-EC5AP	90638	31948	31752	31586	29704	29463	32.5
WP-G375R	105928	36964	36671	36630	33822	32454	30.6
WP-G9EBL	57168	19481	19278	19033	17383	17321	30.3
WP-J06MK	223327	77711	77295	76740	67794	63284	28.3
WP-J0B3X	335549	114355	113660	113368	103320	91594	27.3
WP-KM8BK	146122	49661	49256	48787	43015	39750	27.2
WP-KXGT6	132046	45830	45486	45502	41990	40801	30.9
WP-MRCZG	352149	122888	121987	121730	106122	90633	25.7
WP-QIGEC	302735	103522	102921	102225	90427	77523	25.6
WP-RAJES	307883	106278	105429	104844	93042	80190	26
WP-RPV50	131966	45389	45066	44899	41204	40710	30.8
WP-SUFNU	383563	131341	130268	129981	110386	88913	23.2
WP-TDY7G	146345	49243	48841	48686	44761	43235	29.5
WP-U4XI6	85807	29334	29158	28906	27224	26929	31.4
WP-UIXW3	304129	104203	103303	103001	88260	75767	24.9
WP-X576L	122710	43671	43368	43158	39647	37792	30.8
WP-X803O	281887	97132	96371	95702	82639	74452	26.4
WP-XDI0I	199408	69682	69310	69088	62969	56107	28.1
WP-YF6XT	210492	72768	72192	72016	65246	59099	28.1
WP-YRYYF	273738	97360	96780	95716	83187	71752	26.2
WP-YY8WG	165937	56868	56492	56250	50839	47555	28.7
WP-Z01LM	229511	77521	77018	76632	68652	63541	27.7
